25-04-03 01:41:19.521 [main] INFO  c.e.journalApp.JournalApplication - Starting JournalApplication using Java 23.0.2 with PID 27408 (C:\Users\amruc\Downloads\journalApp\journalApp\target\classes started by amruc in C:\Users\amruc\Downloads\journalApp\journalApp) 
25-04-03 01:41:19.525 [main] DEBUG c.e.journalApp.JournalApplication - Running with Spring Boot v3.4.3, Spring v6.2.3 
25-04-03 01:41:19.526 [main] INFO  c.e.journalApp.JournalApplication - The following 1 profile is active: "dev" 
25-04-03 01:41:21.116 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-04-03 01:41:21.119 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-04-03 01:41:21.364 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 236 ms. Found 2 MongoDB repository interfaces. 
25-04-03 01:41:21.399 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-04-03 01:41:21.402 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
25-04-03 01:41:21.436 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.journalApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-04-03 01:41:21.436 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.journalApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-04-03 01:41:21.437 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces. 
25-04-03 01:41:22.353 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-04-03 01:41:22.371 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-04-03 01:41:22.374 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-04-03 01:41:22.375 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36] 
25-04-03 01:41:22.461 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
25-04-03 01:41:22.461 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2807 ms 
25-04-03 01:41:22.863 [cluster-ClusterId{value='67ed99ea14b3391c16d5abc6', description='Cluster0'}-srv-cluster0.sf4nz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.sf4nz.mongodb.net:27017 to client view of cluster 
