25-04-05 01:09:00.111 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.journalApp.JournalApplication for test class com.example.journalApp.JournalAppApplicationTests 
25-04-05 01:09:00.643 [main] INFO  c.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 17.0.12 with PID 3252 (started by amruc in C:\Users\amruc\Downloads\journalApp\journalApp) 
25-04-05 01:09:00.643 [main] DEBUG c.e.j.JournalAppApplicationTests - Running with Spring Boot v3.4.3, Spring v6.2.3 
25-04-05 01:09:00.645 [main] INFO  c.e.j.JournalAppApplicationTests - The following 1 profile is active: "dev" 
25-04-05 01:09:01.647 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-04-05 01:09:01.649 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-04-05 01:09:01.830 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 169 ms. Found 2 MongoDB repository interfaces. 
25-04-05 01:09:01.862 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-04-05 01:09:01.864 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
25-04-05 01:09:01.884 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.journalApp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-04-05 01:09:01.885 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.journalApp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-04-05 01:09:01.885 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces. 
